ime,id,gorovje,visina,vrsta,priljubljenost,mesto_priljubljenosti,stevilo_poti,opis
Bloško jezero,2339,"Goriško, Notranjsko in Snežniško hribovje",748,"koča, jezero",80,499,4,"Bloško jezero je do 2 metra globoko umetno jezero, ki se nahaja v bližini vasi Volčje. Po naselju Volčje ima jezero še drugo ime in sicer Volčje jezero. V poletnih dneh, ko se jezero prijetno ogreje je tudi priljubljena izletniška točka kopalcev, v lepih dneh preko celega leta pa jezero radi obiščejo kolesarji, sprehajalci, pohodniki... Ob jezeru se nahaja tudi okrepčevalnica Brunarica ob Bloškem jezeru."
Čaven,1210,"Goriško, Notranjsko in Snežniško hribovje",1185,vrh,94,141,3,"Čaven je z gozdom poraščen vrh, ki se nahaja zahodno od Velikegaa Roba (1237m). Na vrh, ki ima zelo poznano ime, pa ne vodi nobena markirana pot, pa čeprav le ta vodi le nekaj metrov stran."
Čelkov vrh,1186,"Goriško, Notranjsko in Snežniško hribovje",1106,vrh,63,941,2,"Čelkov vrh je 1106m visok vrh, ki se nahaja južno od Črnega vrha. Z vrha, ki ima vpisno skrinjico in žig je lep razgled proti Julijcem, Karavankam, Kamniško Savinjskim Alpam ter bližnjemu hribovju."
Cerk,1479,"Goriško, Notranjsko in Snežniško hribovje",1192,vrh,47,1342,5,"Cerk je s 1192 m najvišji vrh Borovške gore, pogorja, ki se nahaja med dolino reke Kolpe in Goteniškim Snežnikom. Z vrha, ki ima vpisno skrinjico z žigom, se nam med krošnjami dreves odpre nekaj razgleda na okoliško hribovje in na vas Borovec pri Kočevski Reki."
Čičer,2583,"Goriško, Notranjsko in Snežniško hribovje",726,,15,2156,1,"Čičer je hrib nad Ročinjem v občini Kanal ob Soči, na katerega nas popelje na novo označena krožna pot."
Črni vrh (Iskra),2915,"Goriško, Notranjsko in Snežniško hribovje",119,vrh,4,2434,1,"Črni vrh je 119 metrov visok grič, ki se dviga vzhodno od Ankarana. Domačini za vrh uporabljajo v glavnem ime Iskra, italijansko govoreči pa Monte Moro. Na vrhu se nahaja nekaj anten ter privat stavba, nekoč last podjetja Iskra."
Črnokalska Varda,2657,"Goriško, Notranjsko in Snežniško hribovje",423,vrh,12,2220,3,"Varda ali Črnokalska Varda (tudi Črnikalska Varda) je 423 metrov visok hrib, ki se nahaja jugovzhodno od naselja Kastelec. Z vrha, na katerem je vpisna skrinjica, se nam odpre lep pogled proti Tinjanu in okoliškim hribom."
Debeli rtič,2945,"Goriško, Notranjsko in Snežniško hribovje",28,,8,2336,1,"Debeli rtič je rt ob slovenski obali, nahaja pa se v bližini meje z Italijo. Z roba rta, do kamor vodi tudi Slovenska planinska pot (SPP), se nam odpre lep pogled proti morju.<br>Žig zadnje kontrolne točke SPP se nahaja na recepciji Hotela Arija."
Deveti konfin,1765,"Goriško, Notranjsko in Snežniško hribovje",930,vrh,43,1443,2,"Deveti konfin je 930 m visok vrh v pogorju Kolovrata, ki se nahaja med Ježo in Očno. Z vrha, na katerem se v manjši piramidi nahaja vpisna skrinjica, zaradi gozda ni razgleda.<br> Ime Deveti konfin pa izhaja iz dejstva, da so se na vrhu stikale meje devetih lastnikov (povzeto s spletne strani dolina-soce.com)."
Divje jezero,828,"Goriško, Notranjsko in Snežniško hribovje",350,jezero,67,839,1,"Divje jezero velikosti 60 X 40m in raziskano do globine 160m se nahaja v bližini Idrije, le 55m stran od reke Idrijce. Teh 55m pa pripada najkrajši slovenski reki Jezernici, ki izvira v jezeru in se nato hitro izlije v Idrijco. Jezero obdajajo strma ostenja, visoka tudi do 100m. Okrog jezera je urejena peš pot ob kateri so informativne table."
Dolina Drage,2709,"Goriško, Notranjsko in Snežniško hribovje",310,jezero,12,2226,1,"Dolina Drage je približno poldrugi kilometer dolga dolina, ki jo je izoblikoval potok Draščica. V dolini je danes 5 ribnikov, ki so nastali s kopanjem gline v 18. stoletju. Ribniki, ki se nahajajo v dolini so Prvi, Veliki, Srednji, Rezani in Zadnji Ribnik. Na zahodnem delu doline, na pobočjih Draške rebri, pa je urejena gozdna učna pot Draga za katero skrbi občina Ig."
Dolski maj,1698,"Goriško, Notranjsko in Snežniško hribovje",912,vrh,41,1492,2,"Dolski maj (tudi Predmejski maj) je 912 m visok vrh, ki se nahaja na robu Gore, točneje med Predmejo in Otlico. Z vrha, na katerem se nahaja manjša razgledna plošča ter ob njej vpisna skrinjica, se nam odpre lep razgled na Modrasovec, Golake, Nanos in Vipavsko dolino."
Dom na Goropekah,654,"Goriško, Notranjsko in Snežniško hribovje",742,koča,61,993,1,Planinski dom na Goropekah se nahaja južno od vasi Žiri. Od doma je razgled zaradi gozda omejen in je le proti hribovju nad Žirmi. Dom do katerega pripelje cesta iz Žirov je odprt vsak dan razen srede. Ob domu je tudi nekaj igral za najmlajše obiskovalce.
Dom na Sabotinu,865,"Goriško, Notranjsko in Snežniško hribovje",560,koča,81,474,2,"Dom se nahaja, severno od Sabotina, na razglednem pobočju, s katerega je lep pogled proti zahodu. V bližini planinskega doma, pa se nahaja večje število kavern, za ogled le teh pa je potrebna svetilka."
Dom na Slivnici,191,"Goriško, Notranjsko in Snežniško hribovje",1078,koča,86,363,2,"Dom na Slivnici se nahaja le nekaj 10 m pod vrhom 1114 m visoke Slivnice. Od koče se nam odpre lep razgled na greben Javornikov, Cerkniško polje in Cerkniško jezero."
Dom na Travni Gori,1065,"Goriško, Notranjsko in Snežniško hribovje",906,koča,58,1058,2,"Dom se nahaja južno od Sodražice na pobočjih Travne gore. Zaradi bližnjega gozda, ki obdaja travnik ob domu je razgled omejen le na bližnji travnik in krošnje dreves."
Dom v Iškem Vintgarju,2334,"Goriško, Notranjsko in Snežniško hribovje",360,"koča, jezero, slap",45,1399,1,"Dom v Iškem Vintgarju se nahaja ob reki Iški ob začetku soteske Iškega Vintgarja. Je primerno izhodišče za vzpone na okoliško hribovje, lahko pa tudi cilj, če pot začnemo v kakšni vasici nad sotesko, ali pa kje nižje ob toku reke Iške."
Fajti hrib,1418,"Goriško, Notranjsko in Snežniško hribovje",433,vrh,63,925,1,"Fajti po nekaterih zapisih tudi Fajtji hrib je 433 m visoka vzpetina, ki se nahaja v grebenu Črnih hribov. Z vrha, ki je poznan predvsem po hudih bojih med 1. svetovno vojno, na to spominja spominska informativna tabla, zaradi gozda ni lepšega razgleda."
Firstov rep,2554,"Goriško, Notranjsko in Snežniško hribovje",1002,,18,2078,5,"Firstov rep se nahaja severno od Loške stene, na njem pa se nahaja vpisna skrinjica z vpisno knjigo in žigom. Od vpisne skrinjice na Firstovem repu, se nam odpre lep pogled na strma pobočja in ostenja Borovške gore, ki se spuščajo proti Zgornji Kolpski dolini."
Frančiškov hrib,2145,"Goriško, Notranjsko in Snežniško hribovje",632,vrh,46,1355,3,"Frančiškov hrib je manj izrazit vrh, ki se nahaja na Skalnici, katere najvišji vrh je 681 metrov visoka Sveta Gora. Z razglednega vrha, na katerem stoji kip sv. Frančiška, se nam odpre lep razgled proti bližnji Sveti Gori, planoti Banjšice, Trnovski gozd, Trstelj, Sabotin in Novo Gorico z okolico."
Furlanovo zavetišče pri Abramu,840,"Goriško, Notranjsko in Snežniško hribovje",900,koča,87,327,8,"Furlanovo zavetišče pri Abramu, je priljubljena izletniška točka, ki se nahaja vzhodno od Vipavske doline. Velik del obiskovalcev, se do zavetišča pripelje kar z avtomobili in si nato ogledujejo v majhno kletko zaprtega medveda. Od zavetišča, ki je točka slovenske planinske poti, je razgled omejen le na planoto Nanosa in delu okoliškega hribovja."
Globočak,1774,"Goriško, Notranjsko in Snežniško hribovje",809,vrh,44,1412,2,"Globočak je 809 m visok vrh, ki se nahaja v pogorju Kanalskega Kolovrata. Z vrha, na katerem je nekaj ostalin iz 1. svetovne vojne, zaradi gozda ni razgleda. Vrh ima vpisno skrinjico ter v njej vpisno knjigo in žig."
Goli hrib,2909,"Goriško, Notranjsko in Snežniško hribovje",217,vrh,5,2409,2,"Goli hrib je 217 metrov visok vrh, ki se nahaja severovzhodno od Dekanov, oz. nad predorom Dekani na primorski avtocesti. Z deloma poraščenega vrha se nam odpre lep pogled na okoliško hribovje in gričevje."
Goli vrh (Cemarovnik),1429,"Goriško, Notranjsko in Snežniško hribovje",816,vrh,41,1486,1,"Goli vrh oz. Begunjski Cemarovnik je 816 m visoka gora, ki se nahaja na jugovzhodnem delu Menišije. Z vrha, na katerem stoji večji križ, se nam odpre lep pogled na Slivnico, Javornike in gričevje notranjske planote Menišije. Vrh ima vpisno skrinjico."
Golič,1683,"Goriško, Notranjsko in Snežniško hribovje",890,vrh,70,767,5,"Golič je travnat greben, ki se razprostira od Kojnika do Slovensko-Hrvaške meje in se nadaljuje v greben Žbevnice na Hrvaški strani. Zaradi relativno dolgih dostopov je slabo obiskan in to mu daje tudi svoj čar. Na prvi ekstremiteti grebena s severo-zahoda je postavljen ""križ"" z vpisno knjigo. Naslednji kucelj je najvišji vrh Goliča (890 m), sledi Nadglavinjak (888 m), ki je zadnji vrh grebena, ki je v celoti na Slovenski strani.<br>S celotnega grebena se odpira lep razgled na Istro, morje, Snežnik ter seveda sosed Slavnik. V lepem vremenu se lahko vidi tudi Dolomite in zahodni del Julijskih Alp."
Gora (Sveti Lovrenc),804,"Goriško, Notranjsko in Snežniško hribovje",1019,"vrh, cerkev",85,387,3,"Gora ali Sveti Lovrenc je vrh nad Studenim. To je vasica severno od Postojne, ki je tudi primerno izhodišče za vzpon na vrh te razgledne gore. Z vrha, ki ima vpisno skrinjico je lep razgled proti Postojnski kotlini in hribovju nad Postojno in Cerknico. Najlepše se vidijo Snežnik, Slivnica, Javorniki, Vremščica in del Nanosa. Na ostale strani razgled ovira gozd."
Goteniški Snežnik,1176,"Goriško, Notranjsko in Snežniško hribovje",1289,vrh,71,742,2,"Goteniški Snežnik je s 1289m najvišji vrh Goteniške gore. Ker vrh prerašča gozd, je razgled z njega precej okrnjen. Vrh ima vpisno skrinjico in žig."
Gozdarska koča Pri logarnici,1465,"Goriško, Notranjsko in Snežniško hribovje",889,,38,1573,1,"Gozdarska koča Pri logarnici, se nahaja na večji travnati ravnici jugovzhodno od Mokrca. Ob gozdarski koči se nahaja še lepo urejen vikend ter staro gospodarsko poslopje. Pri koči je tudi kontrolna točka najdaljše slovenske poti (pot kurirjev in vezistov NOV Slovenije, dolga je okoli 1300 km)."
Grad Lož (Pusti grad),2416,"Goriško, Notranjsko in Snežniško hribovje",698,vrh,20,2022,1,"Grad Lož, tudi Pusti grad ali Loški grad (po nemško Laas), se nahaja vzhodno od naselja Lož. Z gradu oz. vzpetine, na kateri se danes nahajajo le še razvaline, se nam odpre lep pogled proti Loški dolini, Racni gori, Snežniku, Javornikom in bližnji okolici."
Grad Socerb,844,"Goriško, Notranjsko in Snežniško hribovje",437,"vrh, koča, cerkev",88,305,6,"Socerb je manjša vzpetina, ki se nahaja severno od znanega plezališča Osp. Na Socerbu, ki je ena zadnjih točk SPP stoji grad v katerem je prijetno gostišče. S Socerba je lep razgled na Miljski zaliv, Trst in okoliške kraje. Sredi vasice, ki se nahaja le nekaj korakov pod gradom pa stoji cerkev svetega Socerba po katerem je vas tudi dobila ime."
Gradišče (Čepan),1958,"Goriško, Notranjsko in Snežniško hribovje",791,vrh,34,1668,1,"Gradišče tudi Čepan je 791 m visok vrh, ki se nahaja v grebenu gora med Šembijami in Pivko. Z vrha, ki je s svojimi 791 m tudi najvišja točka Brkinškega roba, se nam odpre lep pogled proti Brkinom, dolini reke Reke, Knežaku in ostalim okoliškim vasem, Snežniku in delu Istre."
Gradiška Tura,863,"Goriško, Notranjsko in Snežniško hribovje",793,vrh,95,131,3,"Gradiška Tura je vrh, ki se nahaja na zahodni strani Nanoške planote. Z vrha, na katerega vodi lepo speljana plezalna pot in še nekaj lažjih, je lep razgled na Vipavsko dolino, Trstelj, Čaven in Golake."
Grmada (Nanos),1410,"Goriško, Notranjsko in Snežniško hribovje",1209,vrh,88,310,7,"Grmada je 1209 m visok vrh, ki se nahaja severozahodno od bolj poznane Pleše. Z vrha, na katerem se nahaja vpisna skrinjica z žigom, se nam odpre lep pogled na del planote Nanos, Golake, Čaven ter ob lepem vremenu na Tržaški zaliv, Dolomite in Julijske Alpe."
Grmada (Planinska gora),1221,"Goriško, Notranjsko in Snežniško hribovje",873,vrh,68,815,3,"Grmada je 873m visok vrh, ki se dviguje zahodno od Planinskega polja. Vrh je sicer poraščen, a se nam z razgledne točke, ki se nahaja le malo pod vrhom odpre čudovit pogled na Planinsko polje, Logaško planoto, Krim, Slivnico, del Cerkniškega jezera in gozdnatim Javornikom."
Grmada pri Slavniku,1158,"Goriško, Notranjsko in Snežniško hribovje",998,vrh,67,843,2,"Grmada je 998m visok vrh, ki se nahaja severozahodno od Slavnika. Z vrha na katerem se nahaja opazovalnica protipožarne varnosti je lep pogled po večjem delu Primorske."
Gura,2946,"Goriško, Notranjsko in Snežniško hribovje",510,"vrh, cerkev",3,2446,1,"Gura je 510 metrov visok hrib, ki se nahaja nad Povirjem. Z vrha, na katerem stoji cerkev Marijinega Vnebovzetja, se nam odpre lep razgled predvsem proti jugu in zahodu, na ostale strani pa razgled ovira gozd."
Hrpeljska gora,1157,"Goriško, Notranjsko in Snežniško hribovje",737,vrh,50,1265,3,"Hrpeljska gora ali Mišja šoga je 737m visok vrh, ki se nahaja južno od Hrpelj. Z delno poraščenega vrha pa se nam odpre lep razgled po bližnji in daljni okolici."
Iški morost,2290,"Goriško, Notranjsko in Snežniško hribovje",289,,45,1397,3,"Naravni rezervat Iški morost se nahaja na Ljubljanskem barju ob reki Iški in sicer nekje med naselji Lipe, Črna vas in Brest. Po naravnem rezervatu poteka tudi Koščeva učna pot, ki je opremljena z informativnimi tablami in lepo urejeno opazovalnico, ki jo z veseljem uporabljajo ljubitelji in ljubiteljice ptic."
Iški Vintgar (Vrbica),751,"Goriško, Notranjsko in Snežniško hribovje",420,,71,722,1,"Soteska Iškega Vintgarja je priljubljena izletniška točka med sprehajalci in pohodniki, ki si za spremembo izberejo nižji cilj. Soteska Iškega Vintgarja pa je na več mestih neprehodna oziroma je za napredovanje potrebno hoditi po vodi. Za pohodnike, ki si želijo videti sotesko pa je po levi strani (desni breg Iške) speljana prijetna pot. V soteski Iške pa naletimo na naravno znamenitost, ki dodatno popestri izlet. Na reki oziroma ob njej stoji Votli kamen, skozi katerega teče del reke. <br> Vrbica pa je sotočje Iške in Zale ter stičišče štirih občin (Brezovica, Cerknica, Velike Lašče in Ig)."
Iztokova koča pod Golaki,510,"Goriško, Notranjsko in Snežniško hribovje",1260,koča,87,324,3,"Iztokova koča se nahaja sredi gozda pod vrhom 1495 m visokega Malega Golaka. Koča mimo katere vodi slovenska planinska pot je odprta ob vikendih, v juliju in avgustu pa tudi še ob petkih."
Izvir Ljubljanice (Retovje),1470,"Goriško, Notranjsko in Snežniško hribovje",308,,63,939,1,"Retovje je izvir Velike Ljubljanice, reke ki se po 1000 m združi z Malo Ljubljanico. Od sotočja naprej teče reka pod imenom Ljubljanica.<br>V skupino izvirov Retovje uvrščamo Malo in Veliko Okence ter bližnja izvir Pod Orehom in izvir Pod skalo."
Izvir Nežice,903,"Goriško, Notranjsko in Snežniško hribovje",390,slap,50,1258,1,"Izvir Nežice je le 20 minut oddaljen od regionalne ceste Kočevje - MP Petrina. Od izvira pa do regionalne ceste ima potok Nežica tri približno 10m visoke slapove. Eden od njih je lepo viden z glavne ceste, za ostala dva pa se moramo sprehoditi ob potoku navzgor po lepi gozdni poti."
Jama Vilenica,2399,"Goriško, Notranjsko in Snežniško hribovje",420,,20,2031,1,"Jama Vilenica se nahaja v bližini naselja Lokev ob cesti za Sežano. Ime je dobila po dobrih vilah, ki naj bi po legendah živele v njeni notranjosti. Ena najstarejših turističnih jam na svetu. V vsem sijaju ponovno oživela leta 1963. V njej poteka od leta 1986 mednarodni festival literatov. "
Jampršnik,780,"Goriško, Notranjsko in Snežniško hribovje",649,vrh,50,1270,2,"Jampršnik je malo znan in še manj obiskan vrh, ki se nahaja v verigi gora jugozahodno od Črnega Kala. Kljub skromni višini pa je z vrha lep razgled na Tržaški zaliv in mesta in vasi ob slovenski in italijanski obali."
Javornik nad Črnim vrhom,809,"Goriško, Notranjsko in Snežniško hribovje",1240,vrh,93,185,8,"Javornik je z gozdom poraščen vrh, ki se nahaja jugovzhodno od Črnega vrha. Na vrhu pa so leta 1972 postavili razgledni stolp, ki sega nad krošnje dreves tako, da se nam z vrha odpre lep razgled. Ob lepem vremenu se vidijo Dolomiti, Karnijske in Julijske Alpe, Karavanke, Kamniško Savinjske Alpe in Snežnik. Med omenjenimi vrhovi pa vidimo Škofjeloško in Cerkljansko hribovje, del ljubljanske kotline, notranjsko hribovje in del Tržaškega zaliva.<br> Vzpon na stolp je v mokrem nevaren za zdrs in je na lastno odgovornost."
Ježa,1763,"Goriško, Notranjsko in Snežniško hribovje",949,vrh,43,1432,2,"Ježa je 949 m visok vrh, ki se nahaja zahodno od Volč, točneje na pobočjih Kolovrata. Z vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Trnovski gozd, okoliško hribovje ter skozi krošnje dreves proti delu Julijskih Alp."
Jurjev hrib,2907,"Goriško, Notranjsko in Snežniško hribovje",109,vrh,4,2425,1,"Jurjev hrib je 109 m visok grič, ki se nahaja med Ankaranom, Debelim rtičem in Lazaretom. Po Jurjevem hribu poteka naravoslovna učna pot Resslov gaj, s samega vrha pa zaradi gozda ni razgleda."
Kameni zid,1178,"Goriško, Notranjsko in Snežniško hribovje",1081,vrh,42,1455,1,"Kameni zid so strme skalnate pečine, ki se strmo spuščajo z Goteniške gore. Z vrha Kamenega zidu, se nam odpre lep pogled proti Stojni, Kočevski Reki in Goteniškemu Snežniku, slednji je s 1289m tudi najvišji vrh Goteniške gore."
Kavčič,1691,"Goriško, Notranjsko in Snežniško hribovje",879,vrh,50,1262,3,"Kavčič je travnat vrh, ki se nahaja nad vasjo Rakitovec ob slovensko hrvaški meji. Z vrha, na katerem stojita dva križa ter ob njima vpisna skrinjica, se nam odpre lep razgled proti Učki, Istri, Tržaškemu zalivu, Dolomitom, Julijskim Alpam ter bližnjemu Lipniku, Goliču in Žbevnici."
Koča Antona Bavčerja na Čavnu,500,"Goriško, Notranjsko in Snežniško hribovje",1242,koča,92,191,7,"Koča Antona Bavčerja na Čavnu, se nahaja južno od Malega Modrasovca (1305 m), na nekoliko večjem travniku. Od koče, do katere je možno priti tudi z avtomobilom, zaradi bližnjega gozda ni lepšega razgleda. Z nekaj truda lahko med krošnjami dreves opazimo del Jadranskega morja, sicer pa je lepa razgledna točka le 5 minut hoje stran od koče. Z razgledne točke, pa se nam odpre lep razgled na Vipavsko dolino."
Koča na Kamnem griču,1066,"Goriško, Notranjsko in Snežniško hribovje",1016,"vrh, koča",59,1040,7,"Koča se nahaja na Kamnem griču, razgledni vzpeti, ki se dviguje jugozahodno od Sodražice. S travnatega vrha, ki ga obdaja gozd je lep razgled na okoliško hribovje."
Koča na Kavcu,1534,"Goriško, Notranjsko in Snežniško hribovje",730,,51,1230,1,"Koča na Kavcu je manjše zavetišče zaprtega tipa (kočo se da najeti), ki se nahaja sredi prostranih gozdov med Ljubljanskim barjem in Krimom. Ob koči se nahaja še miza s klopjo, spominsko obeležje NOB in manjši bio hladilnik."
Koča na Kozleku,819,"Goriško, Notranjsko in Snežniško hribovje",997,"vrh, koča",68,801,3,"Koča se nahaja jugozahodno od Ilirske Bistrice, le nekaj metrov pod vrhom Kozleka. Z vrha je lep pogled le proti jugu in zahodu, kjer vidimo dolino reke Reke in hribovje, ki obdaja omenjeno dolino. "
Koča na Vrhu Svetih Treh Kraljev,650,"Goriško, Notranjsko in Snežniško hribovje",823,koča,70,760,9,"Koča se nahaja le nekaj minut pod 884 m visokim vrhom Svetih Treh kraljev. Do koče, ki se nahaja v Rovtarskem hribovju pripelje tudi asfaltirana cesta iz Logaške, Horjulske in Žirovske smeri. Ceste se združijo že nekaj kilometrov pred kočo. Pred kočo, ki jo obdaja gozd je postavljenih nekaj lesenih miz in klopi. Zaradi že omenjenega gozda pa razgleda ni. Le minuto pod kočo pa so v času med prvo in drugo svetovno vojno začeli graditi vojaški rov, katerega pa niso dokončali. Med gradnjo (izkopom) so naleteli na podzemno jamo z več kot kilometer dolgimi  in do 70 m globokimi spleti rovov. V jami najdemo aragonitne in heliktitne tvorbe."
Kojnik,779,"Goriško, Notranjsko in Snežniško hribovje",802,vrh,77,575,3,"Kojnik je delno poraščen vrh, ki se nahaja na južnem delu Podgorskega Krasa v bližini slovensko - hrvaške meje. Z vrha na katerem je vpisna skrinjica je lep razgled proti bližnjemu Slavniku in nekoliko bolj oddaljenem Snežniku. Na drugo stran se vidi del Jadranskega morja kaj več pa zakriva gozd na vrhu."
Kokoš,1125,"Goriško, Notranjsko in Snežniško hribovje",670,"vrh, koča",95,130,9,"Koča na Kokoši se nahaja na vrhu Jirmanec, le ta pa le 5 minut stran od z gozdom poraščene Kokoši. Z vrha, ki se nahaja južno od Lokavskega polja ter, ki meji med Slovenijo in Italijo, se nam odpre lep razgled predvsem proti jugu, kjer lahko vidimo okoliško gričevje. "
Kopitnik,1212,"Goriško, Notranjsko in Snežniško hribovje",929,bivak,53,1197,4,"Kopitnik znan kot vzletna točka zmajarjev in padalcev se nahaja nad vasjo Vitovlje nad Vipavsko dolino. V bližini vzletišča se nahaja manjše zavetišče in ob njem vpisna skrinjica. <br>Razgled s Kopitnika pa seže po večjem delu Vipavske doline, prek Tržaškega zaliva do Dolomitov."
Korada,870,"Goriško, Notranjsko in Snežniško hribovje",812,"vrh, cerkev",90,257,2,"Korada je razgleden vrh, ki se nahaja zahodno od reke Soče in severno oz. na severnem robu Goriških Brd. Z vrha, ki ima vpisno skrinjico je lep pogled na večino gora nad reko Sočo, od njenega izvira do izliva v Jadransko morje. Z vrha se tako vidi skoraj vse od Triglava, Jalovca, Kanina, Krna in Matajurja do Svete Gore in Sabotina. Ob lepem vremenu lahko vidimo tudi Dolomite, Karnijske Alpe, že omenjene Julijce, Kamniško Savinjske Alpe, Golake in Snežnik...<br> Le nekaj minut hoje od vrha proti vzhodu pa opazimo cerkev svete Gerderce."
Kovk,1183,"Goriško, Notranjsko in Snežniško hribovje",961,vrh,72,706,3,"Kovk je razgleden vrh, ki se nahaja zahodno od Cola, na razpotegnjenem grebenu, ki se strmo dviga nad Vipavsko dolino. Z vrha na katerem stoji križ se nam odpre lep razgled proti Nanosu, delu Vipavske doline, Čavnu in Golakom. Vrh ima vpisno skrinjico in žig."
Kraguljc,2496,"Goriško, Notranjsko in Snežniško hribovje",897,vrh,14,2175,3,"Kraguljc je gora, ki se nahaja med Podrto goro in Sončnico. Na razglednem vrhu, s katerega se odpre lep pogled proti Vipavski dolini in delu planote Gora, se nahaja trigonometrična točka."
Krempa,1477,"Goriško, Notranjsko in Snežniško hribovje",944,vrh,46,1359,1,"Krempa je 944 m visoka gora, ki se nahaja v osrednjem delu Borovške gore, pogorja, ki se strmo dviga nad Zgornje kolpsko dolino. Na vrhu je vpisna skrinjica ter žig Kočevske planinske poti.<br>Malo pod vrhom, na istoimenskem sedlu pa se nahaja znano rastišče narcis."
Krim,178,"Goriško, Notranjsko in Snežniško hribovje",1107,"vrh, koča",99,32,16,"Krim je 1107 m visoka gora, ki se dviguje južno od Ljubljanskega barja. Z vrha na katerem stoji planinski dom, ter večje število oddajnikov je lep razgled na del Julijskih Alp, Karavanke, Kamniško Savinjske Alpe in Ljubljansko barje."
Krimšček,1223,"Goriško, Notranjsko in Snežniško hribovje",940,vrh,50,1266,1,"Krimšček oz. Krimček kot mu pravijo domačini je 940 m visoka gora, ki se strmo dviga vzhodno od Brezovice pri Borovnici. Vrh je porasel z gozdom, zato z njega ni razgleda."
Križna gora,1130,"Goriško, Notranjsko in Snežniško hribovje",857,"vrh, cerkev",86,351,3,"Križna gora je deloma razgleden vrh, ki se nahaja nad vasjo Sveta Ana in Podlož. Z vrha na katerem stoji cerkev svetega Križa je lep pogled proti bližnji Racni gori, Snežniku in Loški dolini. Na ostale strani razgled ovira gozd. Vrh ima vpisno skrinjico s knjigo in žigom."
